trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.495}",20,0,-123.70000551128872,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.49005}",25,0,-151.36378345135046,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.4851495}",25,0,-115.08760282408358,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.480298005}",20,0,-12.64542646250574,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.47549502494999996}",25,0,-177.0452881161563,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.4707400747005}",20,0,-69.17794972214291,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.46603267395349496}",25,0,-8.94035477451967,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.46137234721396003}",35,0,-75.17482816775846,"{0: 29, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.4567586237418204}",25,0,-76.81161577558967,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4521910375044022}",25,0,-125.24950840042581,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4476691271293582}",25,0,1.1537364072111636,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4431924358580646}",20,0,-46.72785949072667,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.4387605114994839}",25,0,-216.55255823414043,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.4343729063844891}",20,0,-90.58926321100154,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.4300291773206442}",25,0,-126.07927460364047,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.42572888554743776}",25,0,-30.355129878415944,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.4214715966919634}",20,6,-75.78175309476312,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.41725688072504374}",20,9,-3.9583730920279594,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4130843119177933}",30,0,-71.90659979434844,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.4089534687986154}",20,0,-131.44148092178244,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.4048639341106292}",25,0,-31.09472992811021,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.40081529476952293}",20,2,27.12664101274187,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3968071418218277}",20,0,-66.81250862222336,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.3928390704036094}",30,13,-9.417520700868366,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.3889106796995733}",30,0,-114.6653634042088,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.38502157290257755}",20,0,0.6182581897781804,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.3811713571735518}",20,0,-74.37245229098315,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.3773596436018163}",20,0,5.793874439980384,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.3735860471657981}",35,0,-43.543603177455665,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.3698501866941401}",30,0,-67.53239166467573,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.36615168482719873}",20,0,-54.10388257386478,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.3624901679789267}",25,0,-109.24073818045784,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.35886526629913745}",20,1,9.264549668270364,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.35527661363614604}",20,0,-108.22242535331388,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.3517238474997846}",35,0,-96.94260853025486,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.34820660902478673}",20,0,12.712432747234827,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.34472454293453886}",20,0,-64.74428001168909,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.3412772975051935}",20,0,-59.24984018261296,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.33786452453014154}",20,0,-46.285788679697276,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.33448587928484014}",30,0,-91.45674113726493,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.33114102049199173}",30,0,-25.79320905866361,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.3278296102870718}",20,2,-47.96249388068745,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.3245513141842011}",25,0,-8.567183115755627,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.32130580104235906}",35,0,-111.27068025004151,"{0: 28, 1: 0, 2: 3, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.31809274303193547}",25,0,-119.30504105120691,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.31491181560161613}",20,0,-57.094747596694745,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.3117626974456}",20,0,-41.405572217562145,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
