trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",25,0,-105.4176482744272,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.9801, 'e': 0.9801}",25,0,-36.85246057700991,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.970299, 'e': 0.970299}",20,0,-76.22537106356026,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.96059601, 'e': 0.96059601}",20,0,-199.56794008357056,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.9509900498999999, 'e': 0.9509900498999999}",20,0,-223.06314817761407,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.941480149401, 'e': 0.941480149401}",25,0,-75.01601648448994,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.9320653479069899, 'e': 0.9320653479069899}",25,15,-23.147558090543047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.9227446944279201, 'e': 0.9227446944279201}",30,0,-55.66435706151727,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.9135172474836408, 'e': 0.9135172474836408}",25,0,-213.3715836074114,"{0: 11, 1: 2, 2: 6, 3: 4, 4: 2}",0
10,False,"{'a': 0.9043820750088044, 'e': 0.9043820750088044}",25,0,-195.50337951306352,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.8953382542587164, 'e': 0.8953382542587164}",25,0,-109.73615957966027,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.8863848717161292, 'e': 0.8863848717161292}",30,8,-29.828852826516624,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.8775210229989678, 'e': 0.8775210229989678}",20,0,-126.73807346542546,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.8687458127689782, 'e': 0.8687458127689782}",20,10,-26.520197089832376,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.8600583546412884, 'e': 0.8600583546412884}",25,9,-62.52223557714039,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.8514577710948755, 'e': 0.8514577710948755}",30,0,-93.35802180483466,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.8429431933839268, 'e': 0.8429431933839268}",20,4,-75.4970641890486,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 0}",1
18,False,"{'a': 0.8345137614500875, 'e': 0.8345137614500875}",25,0,-196.8760338676665,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
